Estação de origem,Estação de Destino,contagem_viagens,contagem_acumulada,rank,freq_acumulada
Ministério dos Transportes,Catedral Metropolitana,31,34057,363,73.52388765354807
Memorial JK,Brasília Shopping,31,34088,364,73.59081194274735
W2/EQN305/306,Rodoviária 2,31,34119,365,73.65773623194663
Galeria,Rodoviária,31,34150,366,73.7246605211459
INMETRO,W2/EQN305/306,31,34181,367,73.7915848103452
EQS 202 / 203,Banco Central,31,34212,368,73.85850909954448
Rodoviária 2,PAT,31,34243,369,73.92543338874377
PAT,SQN 205,30,34273,370,73.99019882990436
Brasília Shopping,Shopping Pátio Brasil,30,34303,371,74.05496427106496
Shopping Mall,Galeria,30,34333,372,74.11972971222556
Shopping Pátio Brasil,STF,30,34363,373,74.18449515338615
EQN 408/409,CLN 204,30,34393,374,74.24926059454675
Rodoviária 3,TSE,30,34423,375,74.31402603570734
Setor Hoteleiro Norte,Shopping Pátio Brasil,29,34452,376,74.37663262882926
Brasília Shopping,EQN 104/105,29,34481,377,74.43923922195117
Memorial JK,Shopping Pátio Brasil,29,34510,378,74.50184581507308
Ministério dos Transportes,Ministério do Planejamento,29,34539,379,74.564452408195
Praça Buriti,Brasil 21,29,34568,380,74.6270590013169
Praça do Povo,Praça do Povo,28,34596,381,74.68750674640012
Praça do Povo,SRTVS,28,34624,382,74.74795449148334
Praça Buriti,Banco Central,28,34652,383,74.80840223656658
Galeria,Ministério da Defesa,28,34680,384,74.86884998164979
Rodoviária,Biblioteca Central,28,34708,385,74.92929772673301
Shopping Mall,Brasil 21,28,34736,386,74.98974547181624
Memorial JK,Praça Buriti,28,34764,387,75.05019321689946
SRTVS,102 Sul,28,34792,388,75.11064096198268
SRTVS,Rodoviária,28,34820,389,75.17108870706592
SQN 205,W2/EQN305/306,28,34848,390,75.23153645214913
CNMP - Conselho Nacional do Ministério Público,EQS 202 / 203,28,34876,391,75.29198419723235
EQS 204/205,SQS 305,27,34903,392,75.3502730942769
Ministério da Saude,CNMP - Conselho Nacional do Ministério Público,27,34930,393,75.40856199132143
Ministério da Cultura,Ministério do Planejamento,27,34957,394,75.46685088836597
W2/EQN305/306,EQN 410/411,27,34984,395,75.5251397854105
INMETRO,Rodoviária,27,35011,396,75.58342868245505
Centro de Convenções,Memorial JK,27,35038,397,75.64171757949958
Galeria,Liberty Mall,27,35065,398,75.70000647654412
SQN 205,Biblioteca Central,27,35092,399,75.75829537358865
Catedral Metropolitana,CLN 403,27,35119,400,75.81658427063319
SAS,EQS 202 / 203,27,35146,401,75.87487316767772
Shopping Mall,Rodoviária 3,26,35172,402,75.93100321668358
SRTVS,Praça do Povo,26,35198,403,75.98713326568944
SAS,EQS 204/205,26,35224,404,76.04326331469528
Liberty Mall,Liberty Mall,26,35250,405,76.09939336370113
Galeria,CLN 403,26,35276,406,76.15552341270698
Rodoviária,EQS 202 / 203,26,35302,407,76.21165346171283
INMETRO,CLN 406,26,35328,408,76.26778351071867
Ministério do Planejamento,CLN 403,26,35354,409,76.32391355972453
STF,Rodoviária 3,26,35380,410,76.38004360873039
ICC Sul,W2/EQN305/306,26,35406,411,76.43617365773623
CLN 204,INMETRO,25,35431,412,76.49014485870339
Rodoviária,Banco Central,25,35456,413,76.54411605967056
CLN 204,PAT,25,35481,414,76.59808726063773
Praça do Povo,Setor Hoteleiro Norte,25,35506,415,76.6520584616049
Rodoviária 2,Centro de Convenções,25,35531,416,76.70602966257205
Rodoviária 2,Shopping Pátio Brasil,25,35556,417,76.76000086353922
Instituto de Artes,EQN 104/105,25,35581,418,76.81397206450637
SQS 305,Brasil 21,25,35606,419,76.86794326547354
Galeria,CNMP - Conselho Nacional do Ministério Público,25,35631,420,76.92191446644071
Ministério do Planejamento,Banco Central,25,35656,421,76.97588566740788
Ministério dos Transportes,CLN 403,25,35681,422,77.02985686837503
Ministério da Saude,Ministério da Cultura,25,35706,423,77.0838280693422
CLN 403,SQN 205,24,35730,424,77.13564042227068
Memorial JK,Centro de Convenções,24,35754,425,77.18745277519915
Rodoviária,Brasil 21,24,35778,426,77.23926512812763
Liberty Mall,INMETRO,24,35802,427,77.2910774810561
Shopping Pátio Brasil,Catedral Metropolitana,24,35826,428,77.34288983398459
102 Sul,Rodoviária,24,35850,429,77.39470218691307
EQS 202 / 203,EQS 104/304,24,35874,430,77.44651453984154
Ministério do Planejamento,Ministério da Saude,24,35898,431,77.49832689277002
SRTVS,Shopping Pátio Brasil,24,35922,432,77.55013924569849
SQN 205,CLN 403,24,35946,433,77.60195159862697
Praça do Povo,SQS 305,24,35970,434,77.65376395155545
Rodoviária 3,SAS,24,35994,435,77.70557630448393
SAS,Catedral Metropolitana,24,36018,436,77.7573886574124
Brasil 21,Setor Hoteleiro Norte,24,36042,437,77.80920101034087
Shopping Pátio Brasil,Praça do Povo,24,36066,438,77.86101336326936
Memorial JK,SQN 205,24,36090,439,77.91282571619784
CLN 403,PAT,24,36114,440,77.96463806912631
Banco Central,Shopping Pátio Brasil,24,36138,441,78.01645042205479
Rodoviária 2,Brasília Shopping,23,36161,442,78.06610392694459
SAS,Ministério do Planejamento,23,36184,443,78.11575743183438
Liberty Mall,Instituto de Artes,23,36207,444,78.16541093672417
Praça Buriti,Rodoviária,23,36230,445,78.21506444161396
Memorial JK,W2/EQN305/306,23,36253,446,78.26471794650375
Galeria,Banco Central,23,36276,447,78.31437145139354
Galeria,Brasília Shopping,23,36299,448,78.36402495628333
Banco Central,EQN 410/411,23,36322,449,78.41367846117312
Liberty Mall,Galeria,23,36345,450,78.46333196606291
EQS 204/205,Rodoviária 2,23,36368,451,78.5129854709527
CLN 204,W2/EQN305/306,23,36391,452,78.56263897584249
Torre de TV,Centro de Convenções,23,36414,453,78.61229248073228
Rodoviária 3,SRTVS,22,36436,454,78.65978713758338
STF,Ministério da Saude,22,36458,455,78.7072817944345
CLN 403,Centro Olímpico,22,36480,456,78.7547764512856
Setor Hoteleiro Norte,W2/EQN305/306,22,36502,457,78.80227110813671
Rodoviária,Centro Olímpico,22,36524,458,78.8497657649878
Brasília Shopping,CLN 403,22,36546,459,78.89726042183891
