Estação de origem,Estação de Destino,contagem_viagens
CLN 403,Brasília Shopping,9
CLN 403,CLN 204,41
CLN 403,CLN 403,116
CLN 403,CLN 406,138
CLN 403,CNMP - Conselho Nacional do Ministério Público,1
CLN 403,Catedral Metropolitana,20
CLN 403,Centro Olímpico,22
CLN 403,Deck Sul,1
CLN 403,EQN 104/105,20
CLN 403,EQN 408/409,69
CLN 403,EQN 410/411,61
CLN 403,EQS 104/304,2
CLN 403,EQS 202 / 203,6
CLN 403,EQS 204/205,11
CLN 403,Galeria,5
CLN 403,ICC Sul,71
CLN 403,INMETRO,8
CLN 403,Instituto de Artes,89
CLN 403,Liberty Mall,15
CLN 403,Memorial JK,1
CLN 403,Ministério da Cultura,9
CLN 403,Ministério da Defesa,14
CLN 403,Ministério da Saude,35
CLN 403,Ministério do Planejamento,6
CLN 403,Ministério dos Transportes,20
CLN 403,PAT,24
CLN 403,Praça Buriti,1
CLN 403,Praça do Povo,1
CLN 403,Rodoviária,57
CLN 403,Rodoviária 2,34
CLN 403,Rodoviária 3,8
CLN 403,SAS,1
CLN 403,SQN 205,24
CLN 403,SQS 305,4
CLN 403,SRTVS,1
CLN 403,STF,11
CLN 403,Shopping Mall,5
CLN 403,Shopping Pátio Brasil,13
CLN 403,TSE,1
CLN 403,Torre de TV,4
CLN 403,W2/EQN305/306,14
CLN 406,102 Sul,1
CLN 406,Banco Central,3
CLN 406,Biblioteca Central,83
CLN 406,Brasil 21,2
CLN 406,Brasília Shopping,7
CLN 406,CLN 204,47
CLN 406,CLN 403,138
CLN 406,CLN 406,150
CLN 406,CNMP - Conselho Nacional do Ministério Público,4
CLN 406,Catedral Metropolitana,9
CLN 406,Centro Olímpico,146
CLN 406,Centro de Convenções,2
CLN 406,EQN 104/105,16
CLN 406,EQN 408/409,269
CLN 406,EQN 410/411,264
CLN 406,EQS 204/205,10
CLN 406,Galeria,2
CLN 406,ICC Sul,194
CLN 406,INMETRO,18
CLN 406,Instituto de Artes,320
CLN 406,Liberty Mall,4
CLN 406,Memorial JK,3
CLN 406,Ministério da Cultura,5
CLN 406,Ministério da Defesa,9
CLN 406,Ministério da Saude,4
CLN 406,Ministério do Planejamento,15
CLN 406,Ministério dos Transportes,10
CLN 406,PAT,177
CLN 406,Praça do Povo,1
CLN 406,Rodoviária,37
CLN 406,Rodoviária 2,16
CLN 406,Rodoviária 3,11
CLN 406,SAS,3
CLN 406,SQN 205,49
CLN 406,SQS 305,4
CLN 406,SRTVS,7
CLN 406,Setor Hoteleiro Norte,2
CLN 406,Shopping Mall,2
CLN 406,Shopping Pátio Brasil,4
CLN 406,TSE,1
CLN 406,Torre de TV,4
CLN 406,W2/EQN305/306,38
CNMP - Conselho Nacional do Ministério Público,102 Sul,14
CNMP - Conselho Nacional do Ministério Público,Banco Central,9
CNMP - Conselho Nacional do Ministério Público,Brasília Shopping,1
CNMP - Conselho Nacional do Ministério Público,CLN 204,1
CNMP - Conselho Nacional do Ministério Público,CLN 406,2
CNMP - Conselho Nacional do Ministério Público,CNMP - Conselho Nacional do Ministério Público,15
