Estação de origem,Estação de Destino,contagem_viagens
SQN 205,Rodoviária,21
SQN 205,Rodoviária 2,16
SQN 205,Rodoviária 3,2
SQN 205,SAS,3
SQN 205,SQN 205,97
SQN 205,SQS 305,4
SQN 205,STF,4
SQN 205,Setor Hoteleiro Norte,1
SQN 205,Shopping Mall,1
SQN 205,Shopping Pátio Brasil,1
SQN 205,Torre de TV,1
SQN 205,W2/EQN305/306,28
SQS 305,102 Sul,55
SQS 305,Banco Central,11
SQS 305,Brasil 21,25
SQS 305,Brasília Shopping,15
SQS 305,CLN 204,1
SQS 305,CLN 406,5
SQS 305,CNMP - Conselho Nacional do Ministério Público,9
SQS 305,Catedral Metropolitana,3
SQS 305,Centro de Convenções,3
SQS 305,EQN 408/409,4
SQS 305,EQN 410/411,6
SQS 305,EQS 104/304,31
SQS 305,EQS 202 / 203,21
SQS 305,EQS 204/205,39
SQS 305,Galeria,41
SQS 305,ICC Sul,7
SQS 305,Instituto de Artes,5
SQS 305,Liberty Mall,3
SQS 305,Memorial JK,1
SQS 305,Ministério da Saude,5
SQS 305,Ministério dos Transportes,9
SQS 305,PAT,1
SQS 305,Praça Buriti,1
SQS 305,Praça do Povo,17
SQS 305,Rodoviária,17
SQS 305,Rodoviária 2,13
SQS 305,Rodoviária 3,13
SQS 305,SAS,12
SQS 305,SQN 205,5
SQS 305,SQS 305,119
SQS 305,SRTVS,13
SQS 305,STF,2
SQS 305,Setor Hoteleiro Norte,2
SQS 305,Shopping Mall,12
SQS 305,Shopping Pátio Brasil,19
SQS 305,TSE,2
SQS 305,Torre de TV,9
SQS 305,W2/EQN305/306,11
SRTVS,102 Sul,28
SRTVS,Banco Central,46
SRTVS,Brasil 21,151
SRTVS,Brasília Shopping,10
SRTVS,CLN 204,2
SRTVS,CLN 403,7
SRTVS,CLN 406,4
SRTVS,CNMP - Conselho Nacional do Ministério Público,1
SRTVS,Catedral Metropolitana,10
SRTVS,Centro Olímpico,1
SRTVS,Centro de Convenções,14
SRTVS,EQN 104/105,7
SRTVS,EQN 408/409,5
SRTVS,EQN 410/411,8
SRTVS,EQS 104/304,15
SRTVS,EQS 202 / 203,9
SRTVS,EQS 204/205,10
SRTVS,Galeria,133
SRTVS,INMETRO,2
SRTVS,Instituto de Artes,8
SRTVS,Liberty Mall,7
SRTVS,Memorial JK,8
SRTVS,Ministério da Cultura,5
SRTVS,Ministério da Saude,5
SRTVS,Ministério do Planejamento,3
SRTVS,PAT,4
SRTVS,Praça Buriti,14
SRTVS,Praça do Povo,26
SRTVS,Rodoviária,28
SRTVS,Rodoviária 2,44
SRTVS,Rodoviária 3,62
SRTVS,SAS,8
SRTVS,SQN 205,4
SRTVS,SQS 305,18
SRTVS,SRTVS,86
SRTVS,STF,7
SRTVS,Setor Hoteleiro Norte,7
SRTVS,Shopping Mall,15
SRTVS,Shopping Pátio Brasil,24
SRTVS,TSE,4
SRTVS,Torre de TV,14
SRTVS,W2/EQN305/306,10
STF,Banco Central,13
STF,Biblioteca Central,3
STF,Brasil 21,4
STF,Brasília Shopping,3
STF,CLN 204,4
STF,CLN 403,9
STF,CLN 406,2
STF,CNMP - Conselho Nacional do Ministério Público,7
STF,Catedral Metropolitana,77
STF,Centro Olímpico,4
STF,Centro de Convenções,3
STF,EQN 104/105,3
STF,EQN 408/409,1
STF,EQN 410/411,2
STF,EQS 104/304,4
STF,EQS 202 / 203,2
STF,EQS 204/205,6
STF,Galeria,4
STF,ICC Sul,7
STF,Instituto de Artes,7
STF,Ministério da Cultura,8
STF,Ministério da Defesa,2
STF,Ministério da Saude,22
STF,Ministério do Planejamento,5
STF,Ministério dos Transportes,7
STF,PAT,9
STF,Praça Buriti,1
STF,Praça do Povo,3
STF,Rodoviária,108
STF,Rodoviária 2,180
STF,Rodoviária 3,26
STF,SAS,1
STF,SQN 205,2
STF,SQS 305,1
STF,STF,53
STF,Setor Hoteleiro Norte,11
STF,Shopping Mall,4
STF,Shopping Pátio Brasil,7
STF,TSE,45
STF,Torre de TV,4
STF,W2/EQN305/306,1
Setor Hoteleiro Norte,102 Sul,3
Setor Hoteleiro Norte,Banco Central,18
Setor Hoteleiro Norte,Brasil 21,19
Setor Hoteleiro Norte,Brasília Shopping,16
Setor Hoteleiro Norte,CLN 204,3
Setor Hoteleiro Norte,CLN 403,4
Setor Hoteleiro Norte,CLN 406,5
Setor Hoteleiro Norte,CNMP - Conselho Nacional do Ministério Público,1
Setor Hoteleiro Norte,Catedral Metropolitana,7
Setor Hoteleiro Norte,Centro de Convenções,37
Setor Hoteleiro Norte,EQN 104/105,10
Setor Hoteleiro Norte,EQN 408/409,7
Setor Hoteleiro Norte,EQN 410/411,3
Setor Hoteleiro Norte,EQS 104/304,6
Setor Hoteleiro Norte,EQS 202 / 203,3
Setor Hoteleiro Norte,EQS 204/205,14
Setor Hoteleiro Norte,Galeria,21
Setor Hoteleiro Norte,INMETRO,3
Setor Hoteleiro Norte,Instituto de Artes,2
Setor Hoteleiro Norte,Liberty Mall,4
Setor Hoteleiro Norte,Memorial JK,13
Setor Hoteleiro Norte,Ministério da Cultura,3
Setor Hoteleiro Norte,Ministério da Defesa,1
Setor Hoteleiro Norte,Ministério da Saude,6
Setor Hoteleiro Norte,Ministério do Planejamento,4
Setor Hoteleiro Norte,Ministério dos Transportes,8
Setor Hoteleiro Norte,Praça Buriti,13
Setor Hoteleiro Norte,Praça do Povo,18
Setor Hoteleiro Norte,Rodoviária,55
Setor Hoteleiro Norte,Rodoviária 2,73
Setor Hoteleiro Norte,Rodoviária 3,118
Setor Hoteleiro Norte,SAS,13
Setor Hoteleiro Norte,SQN 205,4
Setor Hoteleiro Norte,SQS 305,4
Setor Hoteleiro Norte,SRTVS,16
Setor Hoteleiro Norte,STF,12
Setor Hoteleiro Norte,Setor Hoteleiro Norte,77
Setor Hoteleiro Norte,Shopping Mall,9
Setor Hoteleiro Norte,Shopping Pátio Brasil,29
Setor Hoteleiro Norte,TSE,1
Setor Hoteleiro Norte,Torre de TV,22
Setor Hoteleiro Norte,W2/EQN305/306,22
Shopping Mall,102 Sul,97
Shopping Mall,Banco Central,13
Shopping Mall,Brasil 21,28
Shopping Mall,Brasília Shopping,13
Shopping Mall,CLN 204,1
Shopping Mall,CLN 403,7
Shopping Mall,CNMP - Conselho Nacional do Ministério Público,5
Shopping Mall,Catedral Metropolitana,2
Shopping Mall,Centro de Convenções,4
Shopping Mall,EQN 104/105,2
Shopping Mall,EQN 410/411,2
Shopping Mall,EQS 104/304,17
Shopping Mall,EQS 202 / 203,39
Shopping Mall,EQS 204/205,44
Shopping Mall,Galeria,30
Shopping Mall,ICC Sul,1
Shopping Mall,INMETRO,5
Shopping Mall,Instituto de Artes,2
Shopping Mall,Liberty Mall,5
Shopping Mall,Ministério da Cultura,5
Shopping Mall,Ministério da Defesa,3
Shopping Mall,Ministério da Saude,12
Shopping Mall,Ministério do Planejamento,2
Shopping Mall,Ministério dos Transportes,10
Shopping Mall,Praça do Povo,10
Shopping Mall,Rodoviária,7
Shopping Mall,Rodoviária 2,14
Shopping Mall,Rodoviária 3,26
Shopping Mall,SAS,12
Shopping Mall,SQN 205,1
Shopping Mall,SQS 305,14
Shopping Mall,SRTVS,16
Shopping Mall,STF,6
Shopping Mall,Setor Hoteleiro Norte,7
Shopping Mall,Shopping Mall,50
Shopping Mall,Shopping Pátio Brasil,15
Shopping Mall,TSE,9
Shopping Mall,Torre de TV,4
Shopping Mall,W2/EQN305/306,6
Shopping Pátio Brasil,102 Sul,19
Shopping Pátio Brasil,Banco Central,20
Shopping Pátio Brasil,Brasil 21,67
Shopping Pátio Brasil,Brasília Shopping,36
Shopping Pátio Brasil,CLN 204,5
Shopping Pátio Brasil,CLN 403,14
Shopping Pátio Brasil,CLN 406,5
Shopping Pátio Brasil,CNMP - Conselho Nacional do Ministério Público,6
Shopping Pátio Brasil,Catedral Metropolitana,24
Shopping Pátio Brasil,Centro Olímpico,2
Shopping Pátio Brasil,Centro de Convenções,7
Shopping Pátio Brasil,EQN 104/105,11
Shopping Pátio Brasil,EQN 408/409,4
Shopping Pátio Brasil,EQN 410/411,5
Shopping Pátio Brasil,EQS 104/304,9
Shopping Pátio Brasil,EQS 202 / 203,8
Shopping Pátio Brasil,EQS 204/205,14
Shopping Pátio Brasil,Galeria,98
Shopping Pátio Brasil,ICC Sul,4
Shopping Pátio Brasil,INMETRO,7
Shopping Pátio Brasil,Instituto de Artes,8
Shopping Pátio Brasil,Liberty Mall,16
Shopping Pátio Brasil,Memorial JK,13
Shopping Pátio Brasil,Ministério da Cultura,10
Shopping Pátio Brasil,Ministério da Defesa,2
Shopping Pátio Brasil,Ministério da Saude,11
Shopping Pátio Brasil,Ministério do Planejamento,8
Shopping Pátio Brasil,Ministério dos Transportes,3
Shopping Pátio Brasil,PAT,2
Shopping Pátio Brasil,Praça Buriti,12
Shopping Pátio Brasil,Praça do Povo,24
Shopping Pátio Brasil,Rodoviária,59
Shopping Pátio Brasil,Rodoviária 2,65
Shopping Pátio Brasil,Rodoviária 3,110
Shopping Pátio Brasil,SAS,11
Shopping Pátio Brasil,SQN 205,3
Shopping Pátio Brasil,SQS 305,16
Shopping Pátio Brasil,SRTVS,19
Shopping Pátio Brasil,STF,30
Shopping Pátio Brasil,Setor Hoteleiro Norte,22
Shopping Pátio Brasil,Shopping Mall,6
Shopping Pátio Brasil,Shopping Pátio Brasil,83
Shopping Pátio Brasil,TSE,2
Shopping Pátio Brasil,Torre de TV,3
Shopping Pátio Brasil,W2/EQN305/306,22
TSE,102 Sul,8
TSE,Banco Central,22
TSE,CLN 204,1
TSE,CLN 403,7
TSE,CLN 406,1
TSE,CNMP - Conselho Nacional do Ministério Público,1
TSE,Catedral Metropolitana,3
TSE,EQN 104/105,2
TSE,EQN 408/409,4
TSE,EQN 410/411,1
TSE,EQS 202 / 203,35
TSE,EQS 204/205,1
TSE,Galeria,10
TSE,ICC Sul,1
TSE,Instituto de Artes,4
TSE,Ministério da Cultura,11
TSE,Ministério da Defesa,2
TSE,Ministério da Saude,9
TSE,Ministério do Planejamento,14
TSE,Ministério dos Transportes,2
TSE,PAT,1
TSE,Praça do Povo,1
TSE,Rodoviária,37
TSE,Rodoviária 2,128
TSE,Rodoviária 3,6
TSE,SAS,7
TSE,STF,20
TSE,Setor Hoteleiro Norte,3
TSE,Shopping Mall,2
TSE,Shopping Pátio Brasil,1
TSE,TSE,7
Torre de TV,Banco Central,5
Torre de TV,Brasil 21,98
Torre de TV,Brasília Shopping,13
Torre de TV,CLN 204,3
Torre de TV,CLN 403,1
Torre de TV,CLN 406,5
Torre de TV,CNMP - Conselho Nacional do Ministério Público,4
Torre de TV,Catedral Metropolitana,5
Torre de TV,Centro de Convenções,23
Torre de TV,Deck Sul,1
Torre de TV,EQN 104/105,2
Torre de TV,EQN 408/409,1
Torre de TV,EQN 410/411,3
Torre de TV,EQS 204/205,6
Torre de TV,Galeria,6
Torre de TV,INMETRO,6
Torre de TV,Instituto de Artes,2
Torre de TV,Liberty Mall,2
Torre de TV,Memorial JK,33
Torre de TV,Ministério da Cultura,7
Torre de TV,Ministério da Saude,1
Torre de TV,Ministério do Planejamento,5
Torre de TV,Ministério dos Transportes,1
Torre de TV,PAT,2
Torre de TV,Praça Buriti,17
Torre de TV,Praça do Povo,8
Torre de TV,Rodoviária,17
Torre de TV,Rodoviária 2,62
Torre de TV,Rodoviária 3,89
Torre de TV,SAS,1
Torre de TV,SQN 205,5
Torre de TV,SQS 305,1
Torre de TV,SRTVS,22
Torre de TV,STF,5
Torre de TV,Setor Hoteleiro Norte,36
Torre de TV,Shopping Mall,1
Torre de TV,Shopping Pátio Brasil,6
Torre de TV,Torre de TV,169
Torre de TV,W2/EQN305/306,15
W2/EQN305/306,102 Sul,8
W2/EQN305/306,Banco Central,5
W2/EQN305/306,Biblioteca Central,8
W2/EQN305/306,Brasil 21,14
W2/EQN305/306,Brasília Shopping,33
W2/EQN305/306,CLN 204,52
W2/EQN305/306,CLN 403,16
W2/EQN305/306,CLN 406,82
W2/EQN305/306,Catedral Metropolitana,3
W2/EQN305/306,Centro Olímpico,11
W2/EQN305/306,Centro de Convenções,6
W2/EQN305/306,Deck Sul,1
W2/EQN305/306,EQN 104/105,15
W2/EQN305/306,EQN 408/409,17
W2/EQN305/306,EQN 410/411,27
W2/EQN305/306,EQS 104/304,2
W2/EQN305/306,EQS 202 / 203,4
W2/EQN305/306,EQS 204/205,4
W2/EQN305/306,Galeria,9
W2/EQN305/306,ICC Sul,51
W2/EQN305/306,INMETRO,35
W2/EQN305/306,Instituto de Artes,154
W2/EQN305/306,Liberty Mall,49
W2/EQN305/306,Memorial JK,13
W2/EQN305/306,Ministério da Cultura,12
W2/EQN305/306,Ministério da Defesa,4
W2/EQN305/306,Ministério da Saude,4
W2/EQN305/306,Ministério do Planejamento,1
W2/EQN305/306,PAT,46
W2/EQN305/306,Praça Buriti,2
W2/EQN305/306,Praça do Povo,2
W2/EQN305/306,Rodoviária,32
W2/EQN305/306,Rodoviária 2,31
W2/EQN305/306,Rodoviária 3,15
W2/EQN305/306,SAS,11
W2/EQN305/306,SQN 205,123
W2/EQN305/306,SQS 305,10
W2/EQN305/306,SRTVS,8
W2/EQN305/306,STF,5
W2/EQN305/306,Setor Hoteleiro Norte,10
W2/EQN305/306,Shopping Pátio Brasil,5
W2/EQN305/306,Torre de TV,5
W2/EQN305/306,W2/EQN305/306,90
